Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2026,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,34005,343,11287,0,0,162,13402,0,257,0,0,5,2044,2279,10422,0,0,7499
MSitAE-APRIL-2026,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7563,0,2710,0,0,0,3517,0,57,0,0,0,497,368,2329,0,0,486
MSitAE-APRIL-2026,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7320,0,9436,0,0,2090,3707,0,288,0,0,27,442,31,2192,0,406,2258
MSitAE-APRIL-2026,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4910,0,11285,0,0,0,2227,0,32,0,0,0,114,2,1688,0,433,2325
MSitAE-APRIL-2026,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,13634,0,0,0,0,0,234,0,0,0,0,0,0,0,0,30
MSitAE-APRIL-2026,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9908,0,4307,0,0,0,4553,0,321,0,0,0,925,287,3874,0,0,1911
MSitAE-APRIL-2026,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8487,0,7800,0,0,798,1885,0,139,0,0,0,701,19,4629,0,0,604
MSitAE-APRIL-2026,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1441,0,0,0,0,0,19,0,0,0,0,0,0,0,35,0
MSitAE-APRIL-2026,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12517,0,3779,0,0,7404,5121,0,0,0,0,0,1946,14,4299,0,0,762
MSitAE-APRIL-2026,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,13969,0,11401,0,0,0,4561,0,628,0,0,0,375,1084,4175,0,101,1623
MSitAE-APRIL-2026,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,11354,0,2451,0,0,0,5776,0,203,0,0,0,761,1026,3578,0,148,2024
