Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2026,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",6642,0,5994,0,0,0,3047,0,45,0,0,0,356,179,2538,0,0,525
MSitAE-MAY-2026,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12691,1659,8886,0,0,1531,5559,108,157,0,0,0,440,11,3934,20,0,2975
MSitAE-MAY-2026,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10691,0,14240,0,0,0,2242,0,0,0,0,0,9,0,4475,0,15,490
MSitAE-MAY-2026,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,21684,0,9770,1420,0,69,9804,0,14,269,0,0,1057,538,4141,0,0,1767
MSitAE-MAY-2026,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7446,0,9832,0,0,2232,3412,0,344,0,0,41,199,10,2268,0,412,2238
MSitAE-MAY-2026,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9890,0,0,0,0,0,3579,0,0,0,0,0,555,301,3134,0,0,2122
MSitAE-MAY-2026,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,14083,0,13117,0,0,0,6042,0,421,0,0,0,745,981,3139,0,609,504
MSitAE-MAY-2026,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,14568,0,0,0,0,0,308,0,0,0,0,0,0,0,0,35
MSitAE-MAY-2026,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,18995,0,4399,0,0,0,5256,0,345,0,0,0,716,990,4961,0,0,962
MSitAE-MAY-2026,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,23718,2056,0,0,0,0,9375,120,0,0,0,0,1178,965,7004,4,0,3529
MSitAE-MAY-2026,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8572,0,8231,0,0,748,2217,0,100,0,0,0,747,30,4844,0,0,586
MSitAE-MAY-2026,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8296,0,927,385,0,1473,3402,0,50,139,0,1,620,180,2638,0,56,942
MSitAE-MAY-2026,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13270,1955,10124,0,0,343,7563,168,921,0,0,1,158,1142,3636,0,1069,3978
MSitAE-MAY-2026,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,13106,0,4142,0,0,7910,5199,0,0,0,0,0,1694,18,4473,0,0,826
MSitAE-MAY-2026,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,11572,0,2504,0,0,0,6382,0,236,0,0,0,823,949,3609,0,168,2062
MSitAE-MAY-2026,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2228,0,0,205,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,26667,880,19721,0,0,0,10464,5,1674,0,0,0,994,1157,4328,0,48,1199
MSitAE-MAY-2026,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7296,0,8580,0,0,0,3571,0,197,0,0,0,335,320,2992,0,195,715
MSitAE-MAY-2026,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,9451,0,0,0,0,0,4106,0,0,0,0,0,975,153,2872,0,0,1760
MSitAE-MAY-2026,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12486,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,8272,0,1015,56,0,0,2348,0,0,0,0,0,466,325,1797,0,0,306
MSitAE-MAY-2026,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,12221,1028,0,0,0,0,4098,29,0,0,0,0,357,16,3914,9,0,1600
MSitAE-MAY-2026,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9181,0,3993,411,0,0,2487,0,154,70,0,0,362,575,1985,0,0,658
MSitAE-MAY-2026,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11630,0,5750,0,0,0,5466,0,766,0,0,0,1460,225,3579,0,0,249
MSitAE-MAY-2026,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9685,0,0,0,0,0,2631,0,0,0,0,0,278,196,1364,0,0,30
MSitAE-MAY-2026,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4709,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20856,0,7092,632,0,0,6027,0,386,0,0,0,923,53,3087,0,0,286
MSitAE-MAY-2026,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10226,0,3519,0,0,0,4422,0,925,0,0,0,545,818,2052,0,0,406
MSitAE-MAY-2026,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9263,0,8964,0,0,0,4617,0,103,0,0,0,466,158,2269,0,2,433
MSitAE-MAY-2026,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1509,0,0,0,0,0,23,0,0,0,0,0,0,0,37,0
MSitAE-MAY-2026,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1015,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12311,4110,7633,0,0,581,4845,127,439,0,0,0,591,0,3768,2,0,1064
